CM000546.1	+	46351833	46351852	chrZ	+	15688659	15688678
CM000546.1	+	46351864	46351868	chrZ	+	15688679	15688683
CM000546.1	+	46351870	46351891	chrZ	+	15688684	15688709
CM000546.1	+	46351895	46351994	chrZ	+	15688710	15688818
CM000546.1	+	46352000	46352002	chrZ	+	15688819	15688821
CM000546.1	+	46352004	46352005	chrZ	+	15688822	15688823
CM000546.1	+	46352010	46352127	chrZ	+	15688824	15688957
CM000546.1	+	46352145	46352161	chrZ	+	15688958	15688991
CM000546.1	+	46352163	46352304	chrZ	+	15688992	15689518
CM000546.1	+	46352306	46352466	chrZ	+	15689519	15689683
CM000546.1	+	46352471	46352737	chrZ	+	15689684	15689969
CM000546.1	+	46352740	46352928	chrZ	+	15689970	15690159
CM000546.1	+	46352932	46352948	chrZ	+	15690160	15690177
CM000546.1	+	46352951	46352976	chrZ	+	15690178	15690211
CM000546.1	+	46352983	46353069	chrZ	+	15690212	15690352
CM000546.1	+	46353071	46353076	chrZ	+	15690353	15690358
CM000546.1	+	46353086	46353087	chrZ	+	15690359	15690360
CM000546.1	+	46353090	46353113	chrZ	+	15690361	15690384
CM000546.1	+	46353115	46353115	chrZ	+	15690385	15690385
CM000546.1	+	46353117	46353156	chrZ	+	15690386	15690425
CM000546.1	+	46353158	46353178	chrZ	+	15690426	15690568
CM000546.1	+	46353620	46353630	chrZ	+	15690569	15690581
CM000546.1	+	46353635	46353657	chrZ	+	15690582	15690611
CM000546.1	+	46353660	46353693	chrZ	+	15690612	15690649
CM000546.1	+	46353699	46353846	chrZ	+	15690650	15690798
CM000546.1	+	46353854	46353882	chrZ	+	15690799	15690831
CM000546.1	+	46353884	46353897	chrZ	+	15690832	15690845
CM000546.1	+	46353906	46353962	chrZ	+	15690846	15690933
CM000546.1	+	46353964	46353992	chrZ	+	15690934	15690965
CM000546.1	+	46353996	46354034	chrZ	+	15690966	15691017
CM000546.1	+	46354046	46354074	chrZ	+	15691018	15691101
CM000546.1	+	46354080	46354083	chrZ	+	15691102	15692101
CM000546.1	+	46354087	46354091	chrZ	+	15693102	15693998
CM000546.1	+	46356311	46356312	chrZ	+	15694155	15694156
CM000546.1	+	46356319	46356327	chrZ	+	15694157	15694166
CM000546.1	+	46356342	46356349	chrZ	+	15694181	15694188
CM000546.1	+	46356371	46356372	chrZ	+	15694213	15694214
CM000546.1	+	46356381	46356382	chrZ	+	15694223	15694224
CM000546.1	+	46356384	46356385	chrZ	+	15694226	15694227
CM000546.1	+	46356391	46356395	chrZ	+	15694233	15694237
CM000546.1	+	46356437	46356441	chrZ	+	15694310	15694314
CM000546.1	+	46356449	46356449	chrZ	+	15694322	15694322
CM000546.1	+	46356467	46356468	chrZ	+	15694340	15694341
CM000546.1	+	46356474	46356476	chrZ	+	15694347	15694349
CM000546.1	+	46356489	46356510	chrZ	+	15694362	15694383
CM000546.1	+	46356546	46356551	chrZ	+	15694427	15694432
CM000546.1	+	46356600	46356605	chrZ	+	15694453	15694458
CM000546.1	+	46356640	46356641	chrZ	+	15694496	15694509
CM000546.1	+	46356654	46356730	chrZ	+	15694510	15694594
CM000546.1	+	46356739	46356842	chrZ	+	15694595	15694701
CM000546.1	+	46356845	46356850	chrZ	+	15694702	15694708
CM000546.1	+	46356852	46356903	chrZ	+	15694709	15694771
CM000546.1	+	46356906	46356927	chrZ	+	15694772	15694794
CM000546.1	+	46356929	46356988	chrZ	+	15694795	15694863
CM000546.1	+	46356992	46357050	chrZ	+	15694864	15694930
CM000546.1	+	46357053	46357080	chrZ	+	15694931	15694958
CM000546.1	+	46357082	46357193	chrZ	+	15694959	15695082
CM000546.1	+	46357195	46357217	chrZ	+	15695083	15695105
CM000546.1	+	46357221	46357469	chrZ	+	15695106	15695357
CM000546.1	+	46357475	46357502	chrZ	+	15695358	15695394
CM000546.1	+	46357504	46357557	chrZ	+	15695395	15695448
CM000546.1	+	46357566	46357577	chrZ	+	15695449	15695468
CM000546.1	+	46357579	46357590	chrZ	+	15695469	15695480
CM000546.1	+	46357592	46357620	chrZ	+	15695481	15695513
CM000546.1	+	46357645	46357662	chrZ	+	15695514	15695531
CM000546.1	+	46357674	46357790	chrZ	+	15695532	15695653
CM000546.1	+	46357792	46357811	chrZ	+	15695654	15695673
CM000546.1	+	46357817	46357871	chrZ	+	15695674	15695744
CM000546.1	+	46357873	46357889	chrZ	+	15695745	15695763
CM000546.1	+	46357892	46357911	chrZ	+	15695764	15695783
CM000546.1	+	46357914	46357918	chrZ	+	15695784	15695788
CM000546.1	+	46357924	46357959	chrZ	+	15695789	15695825
CM000546.1	+	46357977	46357991	chrZ	+	15695826	15695841
CM000546.1	+	46358011	46358055	chrZ	+	15695842	15695891
CM000546.1	+	46358058	46358077	chrZ	+	15695892	15695911
CM000546.1	+	46358125	46358131	chrZ	+	15695912	15695918
CM000546.1	+	46358136	46358167	chrZ	+	15695919	15695950
CM000546.1	+	46358211	46358252	chrZ	+	15695951	15695992
CM000546.1	+	46358254	46358264	chrZ	+	15695993	15696003
CM000546.1	+	46358266	46358323	chrZ	+	15696004	15696064
CM000546.1	+	46358325	46358356	chrZ	+	15696065	15696098
CM000546.1	+	46358358	46358359	chrZ	+	15696099	15696101
CM000546.1	+	46358361	46358383	chrZ	+	15696102	15696126
CM000546.1	+	46358387	46358523	chrZ	+	15696127	15696268
CM000546.1	+	46358525	46358531	chrZ	+	15696269	15696275
CM000546.1	+	46358539	46358540	chrZ	+	15696276	15696277
CM000546.1	+	46358560	46358576	chrZ	+	15696278	15696296
CM000546.1	+	46358578	46358579	chrZ	+	15696297	15696311
CM000546.1	+	46358589	46358617	chrZ	+	15696312	15696347
CM000546.1	+	46358631	46358639	chrZ	+	15696348	15696356
CM000546.1	+	46358641	46358642	chrZ	+	15696357	15696358
CM000546.1	+	46358644	46358644	chrZ	+	15696359	15696359
CM000546.1	+	46358646	46358646	chrZ	+	15696360	15696360
CM000546.1	+	46358649	46358701	chrZ	+	15696361	15696415
CM000546.1	+	46358703	46358738	chrZ	+	15696416	15696451
CM000546.1	+	46358760	46358864	chrZ	+	15696452	15696558
CM000546.1	+	46358866	46358926	chrZ	+	15696559	15696623
CM000546.1	+	46359411	46359535	chrZ	+	15696624	15696753
CM000546.1	+	46359538	46359546	chrZ	+	15696754	15696762
CM000546.1	+	46359548	46359597	chrZ	+	15696763	15696816
CM000546.1	+	46359599	46359601	chrZ	+	15696817	15696820
CM000546.1	+	46359606	46359608	chrZ	+	15696821	15696823
CM000546.1	+	46359610	46359611	chrZ	+	15696824	15696826
CM000546.1	+	46359613	46359626	chrZ	+	15696827	15696841
CM000546.1	+	46359641	46359643	chrZ	+	15696842	15696846
CM000546.1	+	46359646	46359647	chrZ	+	15696847	15696851
CM000546.1	+	46359651	46359652	chrZ	+	15696852	15696878
CM000546.1	+	46359657	46359755	chrZ	+	15696879	15696984
